y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
1.93103,,-0.0164756,0.09945,0.243993,0.37074,0.479343
1.96552,,-0.0166007,0.086447,0.2312,0.357922,0.467675
2,,-0.0169512,0.0740756,0.218488,0.345284,0.456293
2.03448,,-0.0176205,0.0623492,0.206193,0.33285,0.445028
2.06897,,-0.0177344,0.051614,0.194507,0.320484,0.43349
2.10345,,-0.0175116,0.0418965,0.183203,0.307945,0.421753
2.13793,,-0.0177815,0.0328966,0.172269,0.295378,0.410252
2.17241,,-0.0181084,0.0246077,0.161908,0.283218,0.399054
2.2069,,-0.0178908,0.0172785,0.151733,0.271244,0.38795
2.24138,,-0.017815,0.0106266,0.141654,0.259327,0.376761
2.27586,,-0.0182499,0.00448908,0.13162,0.247727,0.365363
2.31034,,-0.0183554,-0.000720905,0.121366,0.236515,0.353674
2.34483,,-0.018079,-0.00494076,0.111244,0.225672,0.342055
2.37931,,-0.0183209,-0.00894477,0.101627,0.215095,0.330757
2.41379,,-0.0187685,-0.0127485,0.0923696,0.204952,0.319646
2.44828,,-0.01857,-0.0156857,0.0832129,0.195247,0.308843
2.48276,,-0.0183968,-0.0181588,0.0744147,0.185804,0.298221
2.51724,,-0.0188713,-0.0206685,0.066198,0.176318,0.287752
2.55172,,-0.0190175,-0.0225704,0.0581318,0.16709,0.277667
